parameter,dist,p1,p2,low,high,source,rationale
ECS_DEFAULT,lognormal,3.0,0.28,1.5,6.0,IPCC AR6 WG1 (2021) SPM A.4.4 & Ch.7.5; Otto et al. 2013; Lewis & Curry 2018,"Equilibrium climate sensitivity: best estimate 3.0C, likely 2.5-4.0C, very likely 2.0-5.0C; right-skewed (cannot rule out >5C). Energy-balance studies (Otto 2013 ~2.0; Lewis & Curry 2018 ~1.6) are lower but now read as a lower bound (pattern effect). Independent check: the GIM T1.3 concentration-driven 1990-2023 backtest shows a clear temperature-RMSE minimum at ECS=3.0 once surface heat capacity is at its physical ~8 - matching AR6. Lognormal median 3.0, sigma 0.28 ~[2.0,4.9] 5-95%."
DAMAGE_QUAD_COEFF,lognormal,0.006,0.45,0.0015,0.025,"DICE-2016R2 (Nordhaus&Moffat 2017); Howard&Sterner 2017; Burke et al. 2015; GIM T1.4 cross-validation","Level-effect quadratic damage frac = coeff*T^2 (T above pre-industrial). Anchors (loss at 3C): DICE-2016R2 0.00236 (2.1%); GIM 0.006 (5.4%, ~2.5x DICE); Howard-Sterner pref. 0.0078-0.0089 (7-8%); +catastrophic 0.010-0.011 (9-10%); prior meta-analysis span 0.0021-0.0192 (1.9-17.3%). GIM sits within the empirical envelope, above DICE, below the Howard-Sterner preferred central. Growth-effect studies (Burke 2015 ~23%/2100; Kotz 2024 RETRACTED) imply a fatter upper tail not captured by a level multiplier, so the lognormal is right-skewed. See gim/damage_validation.py and docs/climate/DAMAGE_FUNCTION.md."
DAMAGE_BENEFIT_MAX,triangular,0.006,0,0.0,0.02,PRIOR (CO2-fertilisation / mild-warming benefit),"Small near-term warming co-benefit (agriculture/heating). Weak literature support; wide prior toward 0."
DAMAGE_BENEFIT_PEAK,triangular,0.3,0,0.0,1.0,PRIOR,"Warming (C above 2023 baseline) at which mild-warming benefit peaks; poorly constrained."
DAMAGE_RISK_ADJ,triangular,0.005,0,0.0,0.02,PRIOR,"Multiplier amplifying damage for low-resilience actors; expert prior, wide."
ALPHA_CAPITAL,triangular,0.3,0,0.22,0.4,"Penn World Table 10; Gollin (2002) JPE","Capital output elasticity = capital income share. Labor share 0.65-0.80 (Gollin) => capital share ~0.20-0.35; standard ~1/3."
BETA_LABOR,triangular,0.6,0,0.5,0.72,"Penn World Table 10; Gollin (2002)","Labor output elasticity. Gollin labor share 0.65-0.80; model calibrated 0.6 for its (non-CRS) production structure."
GAMMA_ENERGY,triangular,0.042,0,0.015,0.08,"GIM backtest 2015-2023; energy-economy literature","Energy output elasticity; small positive. Backtest-selected 0.042; literature aggregate energy share/elasticity ~0.03-0.08."
CAPITAL_DEPRECIATION,triangular,0.05,0,0.03,0.08,"Penn World Table 8/9 (Inklaar&Timmer); Karabarbounis&Neiman 2014","Aggregate capital depreciation ~4.0-4.2% (PWT, US 4.1% / China 3.1% 2011); range 3-8% across capital composition."
HEAT_CAP_SURFACE,triangular,8.0,0,6.0,18.0,"Geoffroy et al. 2013 two-layer EBM; GIM T1.3 joint recal","Two-box surface/upper-ocean heat capacity (model units). Geoffroy CMIP5 physical mean ~8. T1.3 joint multi-window recalibration sets production to 8 (was 18, a 2015-2023 short-window artifact that over-damped the transient and biased ECS to the 4C ceiling); paired with OCEAN_EXCHANGE=1.0 it improves both the 1990-2023 trend (temp RMSE 0.24->0.16) and the 2015-2023 levels (0.138->0.134). See docs/climate/CLIMATE_BACKTEST.md."
